date,t,s,i,r
2020-10-17,236,59017454.52278309,202.45437280148047,982343.0228440319
2020-10-18,237,59017454.51354316,193.048648758838,982352.4378080093
2020-10-19,238,59017454.5050614,184.07957945608558,982361.415359066
2020-10-20,239,59017454.4972756,175.52691926090046,982369.9758050673
2020-10-21,240,59017454.49012868,167.37136019326763,982378.1385110476
2020-10-22,241,59017454.48356824,159.59448701473926,982385.9219446621
2020-10-23,242,59017454.47754614,152.1787363721006,982393.3437174106
2020-10-24,243,59017454.47201822,145.1073583540691,982400.4206233495
2020-10-25,244,59017454.46694394,138.36437826084233,982407.1686777166
2020-10-26,245,59017454.46228608,131.93456062614385,982413.6031532198
2020-10-27,246,59017454.45801045,125.80337587870254,982419.7386135925
2020-10-28,247,59017454.45408572,119.95696751734081,982425.5889466848
2020-10-29,248,59017454.45048308,114.38212046624272,982431.1673963759
2020-10-30,249,59017454.4471761,109.06623193746275,982436.4865918914
2020-10-31,250,59017454.444140516,103.9972835705125,982441.5585758352
2020-11-01,251,59017454.44135407,99.16381356898982,982446.3948322795
2020-11-02,252,59017454.43879631,94.55489124886722,982451.0063123642
2020-11-03,253,59017454.43644847,90.1600930260193,982455.4034584261
2020-11-04,254,59017454.43429333,85.96947827837043,982459.5962283142
2020-11-05,255,59017454.43231507,81.97356704378966,982463.5941178141
2020-11-06,256,59017454.430499166,78.1633193474503,982467.4061814093
2020-11-07,257,59017454.428832315,74.53011435658776,982471.0410532539
2020-11-08,258,59017454.42730227,71.0657308319621,982474.5069668257
2020-11-09,259,59017454.4258978,67.76232904928435,982477.8117730755
2020-11-10,260,59017454.42460861,64.6124330605487,982480.9629582525
2020-11-11,261,59017454.423425235,61.60891352027373,982483.9676611663
2020-11-12,262,59017454.42233899,58.74497186822887,982486.832689065
2020-11-13,263,59017454.42134191,56.014125262831456,982489.5645327558
2020-11-14,264,59017454.42042667,53.410191473811985,982492.1693817878
2020-11-15,265,59017454.41958655,50.92727508915582,982494.6531382942
2020-11-16,266,59017454.41881538,48.55975459677029,982497.0214299487
2020-11-17,267,59017454.418107525,46.30226926746046,982499.2796231402
2020-11-18,268,59017454.41745776,44.149707088353594,982501.4328350802
2020-11-19,269,59017454.41686133,42.09719354662153,982503.4859450483
2020-11-20,270,59017454.416313864,40.14008039502535,982505.443605668
2020-11-21,271,59017454.41581133,38.27393505702274,982507.3102535366
2020-11-22,272,59017454.41535005,36.49453085585805,982509.090119019
2020-11-23,273,59017454.41492663,34.79783745233245,982510.7872358386
2020-11-24,274,59017454.41453797,33.1800115271705,982512.4054504234
2020-11-25,275,59017454.41418122,31.637388231719147,982513.9484304762
2020-11-26,276,59017454.41385375,30.166473068295634,982515.4196731114
2020-11-27,277,59017454.413553156,28.76393371577933,982516.8225130542
2020-11-28,278,59017454.41327724,27.426592571228248,982518.1601301156
2020-11-29,279,59017454.41302397,26.15141977334958,982519.4355561807
2020-11-30,280,59017454.4127915,24.935526125142044,982520.6516823055
2020-12-01,281,59017454.4125781,23.776156564828828,982521.8112652595
2020-12-02,282,59017454.41238222,22.67068411725858,982522.9169335837
2020-12-03,283,59017454.412202425,21.616603836268094,982523.9711936616
2020-12-04,284,59017454.412037395,20.61152707278817,982524.976435463
2020-12-05,285,59017454.4118859,19.65317619343547,982525.9349378326
2020-12-06,286,59017454.411746845,18.739379435280718,982526.848873645
2020-12-07,287,59017454.41161921,17.86806586698091,982527.7203148527
2020-12-08,288,59017454.41150205,17.037260770885766,982528.5512371105
2020-12-09,289,59017454.41139451,16.24508127363923,982529.3435241515
2020-12-10,290,59017454.411295794,15.489731928205934,982530.0989722122
2020-12-11,291,59017454.41120518,14.769500686561454,982530.8192940659
2020-12-12,292,59017454.411122,14.082755139325654,982531.5061227867
2020-12-13,293,59017454.411045656,13.427938701214048,982532.1610155704
2020-12-14,294,59017454.41097558,12.80356708340334,982532.7854572666
2020-12-15,295,59017454.410911255,12.208225028993413,982533.3808636467
2020-12-16,296,59017454.41085221,11.640563054029817,982533.9485846666
2020-12-17,297,59017454.41079801,11.099294349771686,982534.4899075687
2020-12-18,298,59017454.410748266,10.58319193193221,982535.0060597353
2020-12-19,299,59017454.4107026,10.091085875829892,982535.4982114562
2020-12-20,300,59017454.410660684,9.621860592161552,982535.9674786559
2020-12-21,301,59017454.4106222,9.174452335528681,982536.4149253876
2020-12-22,302,59017454.410586886,8.747846852871916,982536.8415661867
2020-12-23,303,59017454.41055447,8.341077000764917,982537.2483684561
2020-12-24,304,59017454.41052471,7.953220571501214,982537.6362546416
2020-12-25,305,59017454.4104974,7.583398267185157,982538.0061042592
2020-12-26,306,59017454.410472326,7.230771645947984,982538.3587559515
2020-12-27,307,59017454.41044931,6.894541217099457,982538.6950093933
2020-12-28,308,59017454.41042819,6.573944680622047,982539.0156270536
2020-12-29,309,59017454.410408795,6.268255175257527,982539.3213359485
2020-12-30,310,59017454.410391,5.976779605477056,982539.612829316
2020-12-31,311,59017454.410374664,5.69885710299257,982539.8907681555
2021-01-01,312,59017454.410359666,5.4338575418902515,982540.1557827122
2021-01-02,313,59017454.410345905,5.181180067143594,982540.4084739514
2021-01-03,314,59017454.41033326,4.940251751077851,982540.6494149021
2021-01-04,315,59017454.41032167,4.710526328430527,982540.8791519222
2021-01-05,316,59017454.41031102,4.491482912043076,982541.0982059838
2021-01-06,317,59017454.410301246,4.282624819982648,982541.3070738474
2021-01-07,318,59017454.410292275,4.083478484108938,982541.5062291524
2021-01-08,319,59017454.41028404,3.8935923453349988,982541.6961235241
2021-01-09,320,59017454.41027648,3.712535825415496,982541.877187601
2021-01-10,321,59017454.41026954,3.5398983776905495,982542.0498319855
2021-01-11,322,59017454.41026318,3.3752885458891044,982542.2144481845
2021-01-12,323,59017454.41025733,3.2183330608880842,982542.3714095139
2021-01-13,324,59017454.41025197,3.068676010727038,982542.5210719288
2021-01-14,325,59017454.41024704,2.925978043473284,982542.6637748203
2021-01-15,326,59017454.41024253,2.789915572727334,982542.799841811
2021-01-16,327,59017454.41023837,2.6601800533784306,982542.9295814793
2021-01-17,328,59017454.41023456,2.536477301080204,982543.0532880399
2021-01-18,329,59017454.41023107,2.4185268005673946,982543.171242036
2021-01-19,330,59017454.41022786,2.3060610729400928,982543.2837109724
2021-01-20,331,59017454.410224915,2.1988250877655746,982543.3909499028
2021-01-21,332,59017454.41022221,2.0965756691083275,982543.493202025
2021-01-22,333,59017454.41021972,1.9990809406433563,982543.590699235
2021-01-23,334,59017454.41021745,1.9061198138599522,982543.6836626396
2021-01-24,335,59017454.410215355,1.8174814826266628,982543.7723030617
2021-01-25,336,59017454.41021344,1.732964935656637,982543.8568215278
2021-01-26,337,59017454.410211675,1.6523785088791367,982543.9374097162
2021-01-27,338,59017454.41021006,1.5755394574510821,982544.0142503846
2021-01-28,339,59017454.410208575,1.5022735270662775,982544.0875177993
2021-01-29,340,59017454.41020721,1.432414563567894,982544.1573781251
2021-01-30,341,59017454.41020596,1.3658041468285544,982544.2239897924
2021-01-31,342,59017454.41020481,1.30229121841254,982544.2875038688
2021-02-01,343,59017454.41020376,1.2417317402897703,982544.3480644005
2021-02-02,344,59017454.410202794,1.1839883781443192,982544.4058087298
2021-02-03,345,59017454.41020191,1.1289301821591555,982544.4608678136
2021-02-04,346,59017454.41020109,1.076432287600373,982544.513366523
2021-02-05,347,59017454.41020034,1.02637563888979,982544.5634239197
