date,t,R0=0.5,R0=1,R0=1.1,R0=1.2
2020-11-20,270,2163.900248350524,170913.529323183,384616.93108445726,815583.6010355593
2020-11-21,271,2112.0189511193125,170542.78172451045,385119.40482383134,818616.5435127406
2020-11-22,272,2061.3815112822545,170171.79162871535,385616.1929031203,821627.8958763294
2020-11-23,273,2011.9581068202478,169800.56653497842,386107.26558921597,824617.2418370084
2020-11-24,274,1963.7196331931568,169429.11391521746,386592.5934745901,827584.1663506407
2020-11-25,275,1916.6376845177645,169057.44121390703,387072.1474814596,830528.2557381685
2020-11-26,276,1870.6845372022226,168685.55584790197,387545.89886594337,833449.0978062738
2020-11-27,277,1825.833127718673,168313.46520626493,388013.8192222108,836346.2819687761
2020-11-28,278,1782.0570410906055,167941.17665009786,388475.8804866231,839219.3993687388
2020-11-29,279,1739.3304978230628,167568.69751237743,388932.054941866,842068.0430012584
2020-11-30,280,1697.6283372842886,167196.03509779455,389382.3152210745,844891.8077904942
2020-12-01,281,1656.926003189476,166823.19668259777,389826.6343119502,847690.2905197183
2020-12-02,282,1617.1995238425336,166450.18951444092,390264.9854715791,850463.0902998062
2020-12-03,283,1578.425502149007,166077.02081223478,390697.34223039536,853209.8085831454
2020-12-04,284,1540.5811038661975,165703.69776600276,391123.67859750945,855930.0492572174
2020-12-05,285,1503.6440429304917,165330.22753674086,391543.968946842,858623.4187657549
2020-12-06,286,1467.592568580356,164956.61725628178,391958.18801891,861289.5262300115
2020-12-07,287,1432.4054477973452,164582.8740271632,392366.31092436356,863927.9835701054
2020-12-08,288,1398.0619566420696,164209.00492250023,392768.31314750086,866538.4056263964
2020-12-09,289,1364.541869695346,163835.01698539147,393164.1705497598,869120.4102808582
2020-12-10,290,1331.8254471033595,163460.91721816105,393553.8593731876,871673.6185784049
2020-12-11,291,1299.8934231538074,163086.71259722952,393937.3562438874,874197.654722265
2020-12-12,292,1268.7269906752313,162712.4100728511,394314.63817544247,876692.1462179204
2020-12-13,293,1238.3077935202625,162338.01656484383,394685.68257231824,879156.7241766662
2020-12-14,294,1208.6179170809642,161963.53896245797,395050.4672332408,881591.0233293722
2020-12-15,295,1179.639876850626,161588.98412424803,395408.97035455366,883994.6821381231
2020-12-16,296,1151.3566082881803,161214.35887794787,395761.17053355183,886367.3429119557
2020-12-17,297,1123.7514529608673,160839.67002034895,396107.0467717927,888708.6519219176
2020-12-18,298,1096.8081520222547,160464.92431718204,396446.5784666089,891018.2595154066
2020-12-19,299,1070.510837695904,160090.12850300208,396779.74526535,893295.8202297422
2020-12-20,300,1044.8440231761435,159715.28928107643,397106.52729845955,895540.9929049269
2020-12-21,301,1019.792593634674,159340.41332327615,397426.905150983,897753.4407856317
2020-12-22,302,995.341793914774,158965.50726997096,397740.85982058774,899932.8314994609
2020-12-23,303,971.4772228717993,158590.57772992706,398048.3727202336,902078.8373407474
2020-12-24,304,948.1848257293088,158215.63128020862,398349.42568080703,904191.1353624628
2020-12-25,305,925.4508851619643,157840.67446608227,398644.00095371896,906269.407446449
2020-12-26,306,903.2620133148794,157465.71380092518,398932.0812134652,908313.3404068536
2020-12-27,307,881.6051408783289,157090.75576613628,399213.6495601509,910322.6260920819
2020-12-28,308,860.4675121759714,156715.80681105074,399488.6895219781,912296.9614851904
2020-12-29,309,839.8366783066973,156340.8733528581,399757.1850576966,914236.0488026504
2020-12-30,310,819.7004892711622,155965.96177652327,400019.1205590183,916139.5955914044
2020-12-31,311,800.0470868891822,155591.07843164413,400274.48085299484,918007.314824139
2021-01-01,312,780.8648951024495,155216.2296325088,400523.25120435865,919838.9249926981
2021-01-02,313,762.1426157109688,154841.42166500358,400765.41731782723,921634.1502026712
2021-01-03,314,743.8692222221794,154466.66078235945,401000.9653403708,923392.7202714861
2021-01-04,315,726.0339528988542,154091.953205011,401229.8818024068,925114.370798071
2021-01-05,316,708.6263044728984,153717.30512052274,401452.15358403756,926798.843254787
2021-01-06,317,691.6360235401481,153342.7226835181,401667.7681137774,928445.8850715733
2021-01-07,318,675.0531028587415,152968.2120156112,401876.713268533,930055.2497167647
2021-01-08,319,658.867775834607,152593.77920534142,402078.9773711781,931626.6967754861
2021-01-09,320,643.070510382789,152219.43030811072,402274.54919215397,933159.9920255345
2021-01-10,321,627.6520033475688,151845.17134612394,402463.41795102094,934654.9075106585
2021-01-11,322,612.6031728682285,151471.00830833148,402645.5733179609,936111.2216111441
2021-01-12,323,597.9151551645584,151096.94715037514,402821.0054152311,937528.7191116136
2021-01-13,324,583.5792995946622,150722.99379453648,402989.7048185687,938907.1912659417
2021-01-14,325,569.5871632344147,150349.15412968802,403151.6625585465,940246.4360242622
2021-01-15,326,555.9305059240666,149975.4340112472,403306.87012188,941546.2580954353
2021-01-16,327,542.6012834970829,149601.83926113314,403455.3194526849,942806.4687024043
2021-01-17,328,529.5916449879454,149228.37566772595,403597.0029536862,944026.8858106971
2021-01-18,329,516.8939282044504,148855.04898582908,403731.9134873784,945207.3341854748
2021-01-19,330,504.50065494117393,148481.8649366341,403860.04437713604,946347.6454444614
2021-01-20,331,492.40452658179703,148108.82920768857,403981.38940393244,947447.6581079679
2021-01-21,332,480.5984180949238,147735.9474523514,404095.9427078124,948507.217645942
2021-01-22,333,469.07537560798704,147363.22528728063,404203.69892436516,949526.1765219723
2021-01-23,334,457.8286124418606,146990.66829744223,404304.65318672534,950504.3942341794
2021-01-24,335,446.85150488406606,146618.28203445,404398.80108849757,951441.7373529224
2021-01-25,336,436.13758828409175,146246.07201603355,404486.13868423656,952338.0795630635
