t,s,i,r
379,58895598.506571956,0.00042686287581730146,1104401.493001159
380,58895598.506571956,0.0003974364488158641,1104401.493030586
381,58895598.506571956,0.0003700386586098749,1104401.4930579842
382,58895598.506571956,0.00034452944208172967,1104401.4930834938
383,58895598.506571956,0.00032077865029090096,1104401.4931072448
384,58895598.506571956,0.0002986652839544351,1104401.4931293584
385,58895598.506571956,0.000278076366577767,1104401.4931499476
386,58895598.506571956,0.0002589066997395399,1104401.4931691175
387,58895598.506571956,0.00024105852283009762,1104401.4931869658
388,58895598.506571956,0.00022444082801583817,1104401.4932035839
389,58895598.506571956,0.00020896863242868515,1104401.4932190562
390,58895598.506571956,0.00019456298305579094,1104401.4932334619
391,58895598.506571956,0.00018115046944413475,1104401.4932468745
392,58895598.506571956,0.00016866256847901555,1104401.4932593626
393,58895598.506571956,0.00015703548290985715,1104401.4932709897
394,58895598.506571956,0.00014620993077864376,1104401.4932818157
395,58895598.506571956,0.0001361307271106253,1104401.4932918947
396,58895598.506571956,0.0001267463175481608,1104401.4933012791
397,58895598.506571956,0.00011800881134444445,1104401.4933100168
398,58895598.506571956,0.00010987367379085526,1104401.493318152
399,58895598.506571956,0.00010229934408374924,1104401.4933257264
400,58895598.506571956,9.524712840683653e-05,1104401.4933327786
401,58895598.506571956,8.868106815252021e-05,1104401.4933393449
402,58895598.506571956,8.256768085363489e-05,1104401.493345458
403,58895598.506571956,7.687572570358185e-05,1104401.49335115
404,58895598.506571956,7.157613138912127e-05,1104401.4933564498
405,58895598.506571956,6.664189599689247e-05,1104401.493361384
406,58895598.506571956,6.204774884338465e-05,1104401.4933659781
407,58895598.506571956,5.7770202620279114e-05,1104401.4933702557
408,58895598.506571956,5.378748426042328e-05,1104401.4933742387
409,58895598.506571956,5.0079394172294434e-05,1104401.4933779466
410,58895598.506571956,4.662712962485615e-05,1104401.4933813987
411,58895598.506571956,4.341296066591115e-05,1104401.493384613
412,58895598.506571956,4.0420461879405215e-05,1104401.4933876053
413,58895598.506571956,3.763429710228249e-05,1104401.4933903916
414,58895598.506571956,3.504009452142364e-05,1104401.4933929858
415,58895598.506571956,3.262467848173889e-05,1104401.4933954012
416,58895598.506571956,3.0375893407842518e-05,1104401.4933976498
417,58895598.506571956,2.8282204749473894e-05,1104401.4933997437
418,58895598.506571956,2.633277139122223e-05,1104401.493401693
419,58895598.506571956,2.451742421327117e-05,1104401.4934035083
420,58895598.506571956,2.2827184747016012e-05,1104401.4934051987
421,58895598.506571956,2.1253530441448427e-05,1104401.4934067721
422,58895598.506571956,1.9788398562953092e-05,1104401.4934082374
423,58895598.506571956,1.8424208140684106e-05,1104401.4934096015
424,58895598.506571956,1.7153960409205265e-05,1104401.4934108718
425,58895598.506571956,1.5971373046260884e-05,1104401.4934120544
426,58895598.506571956,1.4870400837388977e-05,1104401.4934131554
427,58895598.506571956,1.3845353644637641e-05,1104401.4934141804
428,58895598.506571956,1.2890385336534969e-05,1104401.4934151354
429,58895598.506571956,1.2002012593294862e-05,1104401.493416024
430,58895598.506571956,1.1174734201126218e-05,1104401.4934168512
431,58895598.506571956,1.0404448596877544e-05,1104401.4934176214
432,58895598.506571956,9.687221145540393e-06,1104401.4934183387
433,58895598.506571956,9.019348755902666e-06,1104401.4934190067
434,58895598.506571956,8.397586364201274e-06,1104401.4934196286
435,58895598.506571956,7.81874554980893e-06,1104401.4934202074
436,58895598.506571956,7.2798142255452025e-06,1104401.4934207462
437,58895598.506571956,6.777981425500243e-06,1104401.4934212482
438,58895598.506571956,6.31063717462962e-06,1104401.4934217155
439,58895598.506571956,5.875368940049587e-06,1104401.4934221508
440,58895598.506571956,5.469965210229405e-06,1104401.4934225562
441,58895598.506571956,5.092416237724674e-06,1104401.4934229339
442,58895598.506571956,4.740912935978698e-06,1104401.4934232854
443,58895598.506571956,4.413846879322491e-06,1104401.4934236123
444,58895598.506571956,4.109540758746493e-06,1104401.4934239166
445,58895598.506571956,3.826145714839724e-06,1104401.4934242
446,58895598.506571956,3.5622331675641456e-06,1104401.493424464
447,58895598.506571956,3.316517293881467e-06,1104401.4934247097
448,58895598.506571956,3.0878508952177645e-06,1104401.4934249385
449,58895598.506571956,2.875160776265217e-06,1104401.493425151
450,58895598.506571956,2.6771214534482345e-06,1104401.4934253492
451,58895598.506571956,2.492670930750993e-06,1104401.4934255336
452,58895598.506571956,2.3208855025813816e-06,1104401.4934257055
453,58895598.506571956,2.160935240237125e-06,1104401.4934258654
454,58895598.506571956,2.010026233377065e-06,1104401.4934260163
455,58895598.506571956,1.8726094058831578e-06,1104401.4934261537
456,58895598.506571956,1.7440693510152968e-06,1104401.4934262822
457,58895598.506571956,1.624019864535895e-06,1104401.493426402
458,58895598.506571956,1.512074742207366e-06,1104401.493426514
459,58895598.506571956,1.407847779792123e-06,1104401.4934266184
460,58895598.506571956,1.3108915742562738e-06,1104401.4934267155
461,58895598.506571956,1.220668529136689e-06,1104401.4934268056
462,58895598.506571956,1.1367365315712286e-06,1104401.4934268896
463,58895598.506571956,1.0586565790761286e-06,1104401.4934269676
464,58895598.506571956,9.859896691676251e-07,1104401.4934270403
465,58895598.506571956,9.182967993619542e-07,1104401.493427108
466,58895598.506571956,8.551508802643491e-07,1104401.4934271711
467,58895598.506571956,7.963948508044618e-07,1104401.49342723
468,58895598.506571956,7.417907753920557e-07,1104401.4934272845
469,58895598.506571956,6.910088665514022e-07,1104401.4934273353
470,58895598.506571956,6.437193368067723e-07,1104401.4934273825
471,58895598.506571956,5.995923986824373e-07,1104401.4934274268
472,58895598.506571956,5.582982647026684e-07,1104401.493427468
473,58895598.506571956,5.196257706462264e-07,1104401.4934275069
474,58895598.506571956,4.836540708821972e-07,1104401.4934275427
475,58895598.506571956,4.5021045096696773e-07,1104401.4934275763
476,58895598.506571956,4.191026600821533e-07,1104401.4934276075
477,58895598.506571956,3.901384474093689e-07,1104401.4934276363
478,58895598.506571956,3.6312556213022977e-07,1104401.4934276633
479,58895598.506571956,3.3248804426608135e-07,1104401.493427694
480,58895598.506571956,3.111145467544829e-07,1104401.4934277153
481,58895598.506571956,2.907579478184168e-07,1104401.4934277358
482,58895598.506571956,2.7141824745788295e-07,1104401.493427755
483,58895598.506571956,2.5309544567288144e-07,1104401.4934277735
484,58895598.506571956,2.3578954246341226e-07,1104401.4934277907
485,58895598.506571956,2.195005378294754e-07,1104401.493427807
486,58895598.506571956,2.0420407720400726e-07,1104401.4934278221
487,58895598.506571956,1.8979763737270908e-07,1104401.4934278366
488,58895598.506571956,1.7626978817537725e-07,1104401.49342785
489,58895598.506571956,1.636205296120118e-07,1104401.4934278629
490,58895598.506571956,1.5184986168261265e-07,1104401.4934278745
491,58895598.506571956,1.409577843871799e-07,1104401.4934278855
492,58895598.506571956,1.309442977257135e-07,1104401.4934278955
493,58895598.506571956,1.2180940169821344e-07,1104401.4934279046
494,58895598.506571956,1.1349472813426064e-07,1104401.4934279132
495,58895598.506571956,1.0570456889123013e-07,1104401.4934279209
496,58895598.506571956,9.839772804795302e-08,1104401.493427928
497,58895598.506571956,9.157420560442933e-08,1104401.493427935
498,58895598.506571956,8.523400156065903e-08,1104401.4934279413
499,58895598.506571956,7.937711591664214e-08,1104401.4934279472
500,58895598.506571956,7.400354867237866e-08,1104401.4934279525
501,58895598.506571956,6.911329982786858e-08,1104401.4934279574
502,58895598.506571956,6.4675699946339e-08,1104401.4934279618
