date,t,infetti best fit,infetti upper lim,infetti lower lim
2020-11-25,275,0.14211314845378625,0.16555324714071892,0.11867304976685358
2020-11-26,276,0.13232837906977876,0.15415458092531023,0.11050217721424728
2020-11-27,277,0.12321697830998592,0.14354034854642067,0.10289360807355116
2020-11-28,278,0.11473263900403886,0.1336566049433442,0.09580867306473355
2020-11-29,279,0.10683223488314984,0.12445311061387739,0.0892113591524223
2020-11-30,280,0.09947560130211708,0.11588307616867978,0.08306812643555438
2020-12-01,281,0.09262533660194326,0.10790293093070406,0.07734774227318246
2020-12-02,282,0.08624660680402954,0.10047209541571099,0.07202111819234809
2020-12-03,283,0.08030697357859029,0.09355278092584775,0.06706116623133283
2020-12-04,284,0.07477622838525806,0.08710979633345566,0.06244266043706046
2020-12-05,285,0.06962623778901572,0.08111036788346011,0.058142107694571336
2020-12-06,286,0.06483080466067072,0.07552397750029398,0.05413763182104745
2020-12-07,287,0.060365531281470305,0.07032220331303057,0.050408859249910044
2020-12-08,288,0.056207698559884285,0.06547857895021983,0.04693681816954874
2020-12-09,289,0.052336149861015036,0.06096845820815732,0.04370384151387275
2020-12-10,290,0.04873118098651639,0.056768886884124965,0.04069347508890781
2020-12-11,291,0.04537444562486488,0.05285849263165932,0.03789039861807044
2020-12-12,292,0.04224885898419571,0.04921737269861736,0.03528034526977406
2020-12-13,293,0.039338509925366326,0.04582699156749478,0.032850028283237874
2020-12-14,294,0.03662858387223609,0.04267009115055105,0.030587076593921125
2020-12-15,295,0.03410528415730567,0.03973059916222298,0.02847996915238835
2020-12-16,296,0.03175576248950808,0.03699354811829472,0.026517976860721437
2020-12-17,297,0.02956805660732038,0.03444500270553298,0.024691110509107776
2020-12-18,298,0.02753102572963216,0.03207198458584183,0.02299006687342249
2020-12-19,299,0.02563429572387712,0.029862408520442828,0.02140618292731141
2020-12-20,300,0.023868207539323928,0.027805022297768874,0.019931392780878982
2020-12-21,301,0.022223765587772296,0.025889346600088275,0.018558184575456316
2020-12-22,302,0.020692593921240256,0.02410562395315334,0.017279563889327172
2020-12-23,303,0.019266893305790758,0.02244476871979722,0.016089017891784296
2020-12-24,304,0.017939400277900343,0.020898319403072733,0.01498048115272795
2020-12-25,305,0.01670335228778962,0.019458398040334553,0.013948306535244686
2020-12-26,306,0.015552452156457062,0.018117668797827165,0.012987235515086959
2020-12-27,307,0.014480835579183423,0.016869300114227378,0.012092371044139467
2020-12-28,308,0.013483042754656763,0.015706931650286016,0.011259153859027508
2020-12-29,309,0.012553989320515033,0.014624640430487898,0.010483338210542167
2020-12-30,310,0.011688940652155451,0.013616910902714791,0.009760970401596111
2020-12-31,311,0.010883488814580733,0.012678608088536299,0.009088369540625167
2021-01-01,312,0.010133528791446855,0.01180494989148413,0.00846210769140958
2021-01-02,313,0.009435238212713665,0.010991483480987673,0.007878992944439656
2021-01-03,314,0.008785058369629443,0.010234063175976,0.007336053563282887
2021-01-04,315,0.008179675120282707,0.00952882820099729,0.006830522039568124
2021-01-05,316,0.007616002740841005,0.008872183873885959,0.006359821607796052
2021-01-06,317,0.007091168113800706,0.008260783186027264,0.005921553041574148
